group,model,.metric,.estimator,.estimate
raw,Decision Tree,f_meas,binary,0.9002715483753313
raw,Decision Tree,accuracy,binary,0.8328476322070092
raw,Decision Tree,sensitivity,binary,0.957036706554704
raw,Decision Tree,precision,binary,0.8498632204509009
raw,Decision Tree,specificity,binary,0.370324214191047
raw,Logistic Regression,f_meas,binary,0.8985689484828836
raw,Logistic Regression,accuracy,binary,0.8274107105472512
raw,Logistic Regression,sensitivity,binary,0.9697413916729075
raw,Logistic Regression,precision,binary,0.8371293313923499
raw,Logistic Regression,specificity,binary,0.297321622851265
raw,Neural Network,f_meas,binary,0.9026123281100096
raw,Neural Network,accuracy,binary,0.8367876732403802
raw,Neural Network,sensitivity,binary,0.9594268019991821
raw,Neural Network,precision,binary,0.8521504488652177
raw,Neural Network,specificity,binary,0.3800367930686606
raw,XGBoost,f_meas,binary,0.8873458221274229
raw,XGBoost,accuracy,binary,0.8168948624544655
raw,XGBoost,sensitivity,binary,0.9147612294650966
raw,XGBoost,precision,binary,0.8615258790161622
raw,XGBoost,specificity,binary,0.4524063853777224
median_5,Decision Tree,f_meas,binary,0.9279204619957295
median_5,Decision Tree,accuracy,binary,0.8727190888916803
median_5,Decision Tree,sensitivity,binary,0.9717660731002937
median_5,Decision Tree,precision,binary,0.8878606238259023
median_5,Decision Tree,specificity,binary,0.3405600843195069
median_5,Logistic Regression,f_meas,binary,0.9277744921799519
median_5,Logistic Regression,accuracy,binary,0.870885148431939
median_5,Logistic Regression,sensitivity,binary,0.9836208459252012
median_5,Logistic Regression,precision,binary,0.877928934280167
median_5,Logistic Regression,specificity,binary,0.26517951249449656
median_5,Neural Network,f_meas,binary,0.930750931028992
median_5,Neural Network,accuracy,binary,0.8779969015617803
median_5,Neural Network,sensitivity,binary,0.9725010988137778
median_5,Neural Network,precision,binary,0.8924379322524412
median_5,Neural Network,specificity,binary,0.3702453537550198
median_5,XGBoost,f_meas,binary,0.9327533377106588
median_5,XGBoost,accuracy,binary,0.8816438470878868
median_5,XGBoost,sensitivity,binary,0.9736135701639157
median_5,XGBoost,precision,binary,0.8951845822611983
median_5,XGBoost,specificity,binary,0.3875095059570664
median_10,Decision Tree,f_meas,binary,0.9274433763427372
median_10,Decision Tree,accuracy,binary,0.8716430096721517
median_10,Decision Tree,sensitivity,binary,0.9693354277727616
median_10,Decision Tree,precision,binary,0.8890222431959053
median_10,Decision Tree,specificity,binary,0.33371926717973166
median_10,Logistic Regression,f_meas,binary,0.928940080637525
median_10,Logistic Regression,accuracy,binary,0.8727400242850564
median_10,Logistic Regression,sensitivity,binary,0.9828767208005047
median_10,Logistic Regression,precision,binary,0.8806151759355302
median_10,Logistic Regression,specificity,binary,0.2662943540148471
median_10,Neural Network,f_meas,binary,0.9326707956958715
median_10,Neural Network,accuracy,binary,0.8808587698362852
median_10,Neural Network,sensitivity,binary,0.9750596791549679
median_10,Neural Network,precision,binary,0.8938139186829633
median_10,Neural Network,specificity,binary,0.36216032146019206
median_10,XGBoost,f_meas,binary,0.9330613630885879
median_10,XGBoost,accuracy,binary,0.8819683456852154
median_10,XGBoost,sensitivity,binary,0.9720219174015757
median_10,XGBoost,precision,binary,0.8971036794184528
median_10,XGBoost,specificity,binary,0.38610638152966015
