.metric,.estimate,epoch_length
f_meas,0.930213543881492,10 sec
accuracy,0.9424948462049766,10 sec
sensitivity,0.9305208578491206,10 sec
precision,0.9299064328339676,10 sec
specificity,0.9508803485564004,10 sec
f_meas,0.926282847948177,30 sec
accuracy,0.9387859202979462,30 sec
sensitivity,0.94210213313792,30 sec
precision,0.9109860477538133,30 sec
specificity,0.9364983029440732,30 sec
