Epoch,Train Loss,Valid Loss,Train Accuracy,Train F1,Test Accuracy,Test F1
1.0,0.6585675093883313,0.6453948859377872,90.9527855322248,0.8790606465420221,90.54811483690162,0.8751189735025806
2.0,0.637815951560595,0.6361187172507842,91.88979245054011,0.8977822744846753,91.48825235441717,0.8928166069576752
3.0,0.6331770987429234,0.6347625432098993,92.00631144556378,0.9027444038942389,91.6055658748004,0.8973382113660713
4.0,0.6289473448110663,0.6335892703411353,92.26119674717805,0.9045065908566605,91.73102616743246,0.8967165612509037
5.0,0.6274992395076693,0.6380105793662564,92.43112028158758,0.9159409259816603,91.25525466810049,0.9035530462513739
6.0,0.6273393044190377,0.634557742396286,92.55977667192622,0.9107901657420371,91.59904845700133,0.899125789652881
7.0,0.6302332046979703,0.6318726249357707,92.61803616943803,0.9113560113888568,91.89396161240916,0.9017932223837841
8.0,0.626840864927132,0.6386489810983381,91.95290690617793,0.9071318753157288,91.18519242676052,0.8982108603375032
9.0,0.6249437718102651,0.6390251570125814,92.4553950722175,0.9212443662220267,91.1216476032196,0.907862637134713
10.0,0.6222349454342209,0.6304662377419139,93.26617307925719,0.9232730479339856,91.99986965164402,0.9085468529663554
11.0,0.6201994644929163,0.632125514204982,93.2297608933123,0.9256996810430319,91.83367549776779,0.9106472977110336
12.0,0.6206363579316169,0.6308163590301935,93.25403568394222,0.9238640736010567,91.96565320819892,0.9090120526163123
13.0,0.619667559306814,0.6327724684266776,93.25889064206821,0.9256744932452438,91.75220777527943,0.908938280886861
14.0,0.618718346268494,0.6317864642153194,93.38511955334386,0.9258739605222436,91.89559096685893,0.9090672271986012
15.0,0.6165841594801186,0.6322059600892729,93.72011166403689,0.9306611650977581,91.79131228207385,0.9098528142959718
16.0,0.6160690808518333,0.6330193926942486,93.47493627867459,0.9266519311266629,91.7587251930785,0.9077002022620644
17.0,0.6174772463229873,0.6320788931175367,93.47736375773759,0.9237194419319614,91.88581484016034,0.904787355465764
18.0,0.6176074809909607,0.6359051480904858,93.30501274426508,0.9249268753595143,91.43122494867534,0.9045426091709547
19.0,0.6157283482159147,0.635234824745946,93.4409515717927,0.9264886139095266,91.54039169680972,0.9055043402708621
20.0,0.6141907343212862,0.6346055060407542,93.76380628717077,0.9306866765405817,91.5957897481018,0.9074417669658351
21.0,0.6136119930270296,0.6327587778177948,94.02111906784803,0.9336473592762782,91.74894906637991,0.9080902337409639
22.0,0.6125417044444114,0.6367632943099681,93.77108872435976,0.9344846825921065,91.37582689738326,0.9100136808272752
23.0,0.6125315580493915,0.634756815321627,93.96043209127322,0.9340968437656659,91.60719522925017,0.9080511725547349
24.0,0.6121139030278839,0.6316903723293101,94.16676781162762,0.9358320062285558,91.9118845113566,0.9107785168164718
25.0,0.6106347810037388,0.6352453706038259,94.11336327224178,0.9358900247967674,91.48988170886695,0.9074247030052617
